id,storyday,storyevent
u33fmnhctv,04/002,Born in Hofn 30
u33fmnhctv,24/005,Friends with
u33fmnhctv,15/007,Hofn Elementary School
u33fmnhctv,24/008,Mother died
u33fmnhctv,01/010,No longer friends with
u33fmnhctv,09/010,Friends with
u33fmnhctv,04/011,No longer friends with
u33fmnhctv,18/011,Friends with
u33fmnhctv,15/013,Father died
u33fmnhctv,15/013,Adopted by
u33fmnhctv,15/013,Moved to Hofn 21
u33fmnhctv,08/014,Graduated from Hofn Elementary School
u33fmnhctv,15/014,Hofn High School
u33fmnhctv,04/016,Waiter
u33fmnhctv,06/016,Friends with
u33fmnhctv,11/017,Friends with
u33fmnhctv,25/018,Friends with
u33fmnhctv,08/020,Graduated from Hofn High School
u33fmnhctv,17/021,Left home
u33fmnhctv,17/021,Moved to Vardo 1
u33fmnhctv,17/021,Baker
u33fmnhctv,12/022,No longer friends with
u33fmnhctv,18/022,No longer friends with
u33fmnhctv,05/025,Friends with
u33fmnhctv,10/028,Friends with
u33fmnhctv,12/028,Friends with
u33fmnhctv,07/030,No longer friends with
u33fmnhctv,09/032,Friends with
u33fmnhctv,24/033,Light smoker
u33fmnhctv,07/034,Pregnant
u33fmnhctv,01/035,born
u33fmnhctv,09/035,Pregnant
u33fmnhctv,03/036,born
u33fmnhctv,04/036,No longer friends with
u33fmnhctv,15/036,Moved to Hofn 7
u33fmnhctv,15/036,University of Hofn
u33fmnhctv,15/036,Baker
u33fmnhctv,16/036,Friends with
u33fmnhctv,08/037,Unemployed
u33fmnhctv,08/037,Elementary School Teacher
u33fmnhctv,11/037,Nonsmoker
u33fmnhctv,08/040,Graduated from Hofn University
u33fmnhctv,08/040,Moved to Vardo 6
u33fmnhctv,08/040,Wheat Farmer
u33fmnhctv,09/042,Friends with
u33fmnhctv,11/044,Friends with
u33fmnhctv,21/044,No longer friends with
u33fmnhctv,06/047,No longer friends with
u33fmnhctv,07/047,Friends with
u33fmnhctv,12/047,No longer friends with
u33fmnhctv,08/049,Friends with
u33fmnhctv,14/049,No longer friends with
u33fmnhctv,16/049,Friends with
u33fmnhctv,01/052,Friends with
u33fmnhctv,22/053,Dating
u33fmnhctv,25/053,Single
u33fmnhctv,25/053,No longer friends with
u33fmnhctv,07/055,Friends with
u33fmnhctv,16/055,Dating
u33fmnhctv,25/055,Single
u33fmnhctv,05/056,Dating
u33fmnhctv,11/056,Engaged
u33fmnhctv,08/057,Married
u33fmnhctv,08/057,Moved to Vardo 2 with
u33fmnhctv,23/059,Light smoker
u33fmnhctv,22/060,No longer friends with
u33fmnhctv,24/060,Moderate smoker
u33fmnhctv,03/061,Friends with
u33fmnhctv,24/061,Retired
u33fmnhctv,10/064,Heavy smoker
u33fmnhctv,27/066,No longer friends with
u33fmnhctv,13/067,Friends with
u33fmnhctv,08/068,No longer friends with
u33fmnhctv,08/069,No longer friends with
u33fmnhctv,14/069,Friends with
u33fmnhctv,28/069,Friends with
u33fmnhctv,05/072,Widowed
u33fmnhctv,11/072,No longer friends with
u33fmnhctv,18/072,Dating
u33fmnhctv,21/072,Moderate smoker
u33fmnhctv,25/072,Engaged
u33fmnhctv,02/073,Friends with
u33fmnhctv,21/073,Married
u33fmnhctv,21/073,Moved to Vardo 4 with
u33fmnhctv,01/074,Light smoker
u33fmnhctv,21/074,Nonsmoker
u33fmnhctv,05/083,Adopted
u33fmnhctv,26/089,Widowed
u33fmnhctv,07/099,Light smoker
u33fmnhctv,17/099,Nonsmoker
u33fmnhctv,10/110,Light smoker
u33fmnhctv,21/112,Nonsmoker
u33fmnhctv,11/117,Skin cancer
u33fmnhctv,20/117,Died from skin cancer
dmp2hccsfg,16/002,Born in Hofn 36
dmp2hccsfg,19/002,Moved to Hofn 40 with family
dmp2hccsfg,24/005,Friends with
dmp2hccsfg,17/006,Friends with
dmp2hccsfg,18/006,Friends with
dmp2hccsfg,15/008,Hofn Elementary School
dmp2hccsfg,23/008,Mother died
dmp2hccsfg,01/010,No longer friends with
dmp2hccsfg,09/010,Friends with
dmp2hccsfg,04/011,No longer friends with
dmp2hccsfg,18/011,Friends with
dmp2hccsfg,08/015,Graduated from Hofn Elementary School
dmp2hccsfg,15/015,Hofn High School
dmp2hccsfg,04/018,Dating
dmp2hccsfg,16/018,Baker
dmp2hccsfg,23/018,Single
dmp2hccsfg,24/020,Left home
dmp2hccsfg,24/020,Moved to Hofn 1
dmp2hccsfg,08/021,Graduated from Hofn High School
dmp2hccsfg,18/022,No longer friends with
dmp2hccsfg,07/024,Friends with
dmp2hccsfg,18/027,Pregnant
dmp2hccsfg,10/028,born
dmp2hccsfg,23/028,No longer friends with
dmp2hccsfg,13/029,Friends with
dmp2hccsfg,20/029,No longer friends with
dmp2hccsfg,28/029,Friends with
dmp2hccsfg,19/031,Light smoker
dmp2hccsfg,22/031,Nonsmoker
dmp2hccsfg,20/036,Pregnant
dmp2hccsfg,22/036,Miscarriage
dmp2hccsfg,27/044,Pregnant
dmp2hccsfg,20/045,born
dmp2hccsfg,25/046,No longer friends with
dmp2hccsfg,26/046,Friends with
dmp2hccsfg,08/052,Unemployed
dmp2hccsfg,08/052,High School Teacher
dmp2hccsfg,23/053,Light smoker
dmp2hccsfg,27/061,No longer friends with
dmp2hccsfg,14/062,Retired
dmp2hccsfg,25/062,Moderate smoker
dmp2hccsfg,12/063,Friends with
dmp2hccsfg,05/064,No longer friends with
dmp2hccsfg,08/064,Friends with
dmp2hccsfg,15/064,Friends with
dmp2hccsfg,13/069,No longer friends with
dmp2hccsfg,18/069,Friends with
dmp2hccsfg,05/071,Light smoker
dmp2hccsfg,14/071,Nonsmoker
dmp2hccsfg,07/072,No longer friends with
dmp2hccsfg,14/072,Friends with
dmp2hccsfg,03/073,Friends with
dmp2hccsfg,16/073,Recovered from pancreatic cancer
dmp2hccsfg,15/080,No longer friends with
dmp2hccsfg,19/080,Friends with
dmp2hccsfg,17/083,Light smoker
dmp2hccsfg,16/084,Friends with
dmp2hccsfg,02/088,Nonsmoker
dmp2hccsfg,13/089,Light smoker
dmp2hccsfg,13/089,Friends with
dmp2hccsfg,14/090,No longer friends with
dmp2hccsfg,24/090,Friends with
dmp2hccsfg,04/091,No longer friends with
dmp2hccsfg,14/091,Friends with
dmp2hccsfg,09/096,No longer friends with
dmp2hccsfg,10/096,Friends with
dmp2hccsfg,27/097,No longer friends with
dmp2hccsfg,28/097,Friends with
dmp2hccsfg,03/099,Nonsmoker
dmp2hccsfg,19/100,No longer friends with
dmp2hccsfg,21/100,Friends with
dmp2hccsfg,22/100,No longer friends with
dmp2hccsfg,23/100,Friends with
dmp2hccsfg,19/101,Friends with
dmp2hccsfg,22/101,Dating
dmp2hccsfg,26/101,Engaged
dmp2hccsfg,19/102,Married
dmp2hccsfg,19/102,Moved to Hofn 2 with
dmp2hccsfg,08/108,Light smoker
dmp2hccsfg,16/109,Moderate smoker
dmp2hccsfg,02/110,Light smoker
dmp2hccsfg,03/111,Died from stroke
w6cnc27843,01/003,Born in Hofn 32
w6cnc27843,18/006,Friends with
w6cnc27843,15/008,Hofn Elementary School
w6cnc27843,10/011,Friends with
w6cnc27843,13/011,Friends with
w6cnc27843,05/013,No longer friends with
w6cnc27843,03/014,Friends with
w6cnc27843,08/015,Graduated from Hofn Elementary School
w6cnc27843,15/015,Hofn High School
w6cnc27843,06/016,Friends with
w6cnc27843,13/017,Friends with
w6cnc27843,10/018,No longer friends with
w6cnc27843,01/019,Pig Farmer
w6cnc27843,05/020,Friends with
w6cnc27843,08/021,Graduated from Hofn High School
w6cnc27843,09/021,Friends with
w6cnc27843,11/022,Friends with
w6cnc27843,22/022,Left home
w6cnc27843,22/022,Moved to Vardo 2
w6cnc27843,22/022,Wheat Farmer
w6cnc27843,11/023,Dating
w6cnc27843,16/023,Pregnant
w6cnc27843,19/023,Engaged
w6cnc27843,23/023,Miscarriage
w6cnc27843,02/024,Pregnant
w6cnc27843,12/024,Married
w6cnc27843,12/024,Moved to Bjurholm 2 with
w6cnc27843,13/024,Moving to find work
w6cnc27843,13/024,Moved to Vardo 2
w6cnc27843,13/024,Wheat Farmer
w6cnc27843,21/024,Miscarriage
w6cnc27843,26/026,Pregnant
w6cnc27843,19/027,born
w6cnc27843,23/028,No longer friends with
w6cnc27843,23/028,Pregnant
w6cnc27843,16/029,born
w6cnc27843,12/031,Pregnant
w6cnc27843,24/031,No longer friends with
w6cnc27843,05/032,born
w6cnc27843,09/034,Pregnant
w6cnc27843,03/035,born
w6cnc27843,18/035,Pregnant
w6cnc27843,05/036,Miscarriage
w6cnc27843,09/036,Friends with
w6cnc27843,22/036,Pregnant
w6cnc27843,16/037,born
w6cnc27843,13/040,Pregnant
w6cnc27843,06/041,born
w6cnc27843,08/042,Pregnant
w6cnc27843,01/043,born
w6cnc27843,10/047,Friends with
w6cnc27843,15/047,Moved to Hofn 20
w6cnc27843,15/047,University of Hofn
w6cnc27843,15/047,High School Principal
w6cnc27843,05/049,No longer friends with
w6cnc27843,09/050,Friends with
w6cnc27843,08/051,Graduated from Hofn University
w6cnc27843,08/051,Moved to Vardo 2
w6cnc27843,08/051,Elementary School Teacher
w6cnc27843,04/052,Cervical cancer
w6cnc27843,13/052,Died from cervical cancer
qc8jywfpmw,02/003,Born in Hofn 20
qc8jywfpmw,17/006,Friends with
qc8jywfpmw,15/008,Hofn Elementary School
qc8jywfpmw,01/009,Friends with
qc8jywfpmw,15/010,Friends with
qc8jywfpmw,02/011,Mother died
qc8jywfpmw,04/011,No longer friends with
qc8jywfpmw,02/013,Friends with
qc8jywfpmw,08/015,Graduated from Hofn Elementary School
qc8jywfpmw,10/015,Friends with
qc8jywfpmw,15/015,Hofn High School
qc8jywfpmw,04/018,Dating
qc8jywfpmw,19/018,No longer friends with
qc8jywfpmw,23/018,Single
qc8jywfpmw,25/018,Dating
qc8jywfpmw,02/019,Diary Farmer
qc8jywfpmw,04/021,Friends with
qc8jywfpmw,08/021,Graduated from Hofn High School
qc8jywfpmw,06/022,Engaged
qc8jywfpmw,08/022,Left home
qc8jywfpmw,08/022,Moved to Vardo 2
qc8jywfpmw,08/022,Miller
qc8jywfpmw,09/022,born
qc8jywfpmw,15/022,Moved to Hofn 2 with
qc8jywfpmw,03/023,Married
qc8jywfpmw,06/023,born
qc8jywfpmw,15/023,born
qc8jywfpmw,02/024,High School Teacher
qc8jywfpmw,23/024,born
qc8jywfpmw,03/025,Friends with
qc8jywfpmw,08/026,Moved to Vardo 7 with
qc8jywfpmw,15/026,No longer friends with
qc8jywfpmw,03/027,born
qc8jywfpmw,07/027,Wheat Farmer
qc8jywfpmw,01/028,Unemployed
qc8jywfpmw,01/028,Elementary School Teacher
qc8jywfpmw,10/028,born
qc8jywfpmw,09/029,born
qc8jywfpmw,20/029,No longer friends with
qc8jywfpmw,15/033,Friends with
qc8jywfpmw,24/035,born
qc8jywfpmw,27/035,Friends with
qc8jywfpmw,15/038,Moved to Hofn 19
qc8jywfpmw,15/038,University of Hofn
qc8jywfpmw,15/038,Pig Farmer
qc8jywfpmw,01/039,Friends with
qc8jywfpmw,08/039,Unemployed
qc8jywfpmw,08/039,Miller
qc8jywfpmw,08/042,Graduated from Hofn University
qc8jywfpmw,08/042,Moved to Vardo 3
qc8jywfpmw,08/042,Literature Professor
qc8jywfpmw,09/043,No longer friends with
qc8jywfpmw,17/043,Friends with
qc8jywfpmw,13/044,Unemployed
qc8jywfpmw,13/044,Brewer
qc8jywfpmw,15/044,No longer friends with
qc8jywfpmw,05/045,born
qc8jywfpmw,07/046,Unemployed
qc8jywfpmw,07/046,Mayor of Vardo
qc8jywfpmw,21/049,Friends with
qc8jywfpmw,17/058,No longer friends with
qc8jywfpmw,04/059,Died from heart attack
ycw4trhxmd,27/003,Born in Hofn 23
ycw4trhxmd,01/009,Friends with
ycw4trhxmd,15/009,Hofn Elementary School
ycw4trhxmd,04/011,No longer friends with
ycw4trhxmd,13/011,Friends with
ycw4trhxmd,18/011,Friends with
ycw4trhxmd,19/011,Friends with
ycw4trhxmd,16/012,Friends with
ycw4trhxmd,02/013,Friends with
ycw4trhxmd,02/014,No longer friends with
ycw4trhxmd,05/016,No longer friends with
ycw4trhxmd,08/016,Graduated from Hofn Elementary School
ycw4trhxmd,15/016,Hofn High School
ycw4trhxmd,10/018,Dating
ycw4trhxmd,11/018,Friends with
ycw4trhxmd,17/018,Single
ycw4trhxmd,17/018,No longer friends with
ycw4trhxmd,19/018,Friends with
ycw4trhxmd,21/018,Friends with
ycw4trhxmd,25/018,Dating
ycw4trhxmd,05/019,Friends with
ycw4trhxmd,16/019,Friends with
ycw4trhxmd,27/019,Brewer
ycw4trhxmd,02/021,No longer friends with
ycw4trhxmd,05/021,Left home
ycw4trhxmd,05/021,Moved to Hofn 2
ycw4trhxmd,15/021,Pregnant
ycw4trhxmd,06/022,Engaged
ycw4trhxmd,08/022,Moved to Vardo 2 with
ycw4trhxmd,08/022,Graduated from Vardo High School
ycw4trhxmd,08/022,Wheat Farmer
ycw4trhxmd,09/022,born
ycw4trhxmd,15/022,Moved to Hofn 2
ycw4trhxmd,15/022,University of Hofn
ycw4trhxmd,21/022,Friends with
ycw4trhxmd,22/022,Pig Farmer
ycw4trhxmd,22/022,Pregnant
ycw4trhxmd,03/023,Married
ycw4trhxmd,07/023,Friends with
ycw4trhxmd,10/023,Friends with
ycw4trhxmd,15/023,born
ycw4trhxmd,02/024,Pregnant
ycw4trhxmd,23/024,born
ycw4trhxmd,03/025,Pregnant
ycw4trhxmd,25/025,born
ycw4trhxmd,08/026,Graduated from Hofn University
ycw4trhxmd,08/026,Moved to Vardo 7
ycw4trhxmd,08/026,Barista
ycw4trhxmd,10/026,Pregnant
ycw4trhxmd,17/026,No longer friends with
ycw4trhxmd,03/027,born
ycw4trhxmd,13/027,Friends with
ycw4trhxmd,17/027,No longer friends with
ycw4trhxmd,26/027,Friends with
ycw4trhxmd,04/028,No longer friends with
ycw4trhxmd,16/028,Pregnant
ycw4trhxmd,09/029,born
ycw4trhxmd,15/033,Light smoker
ycw4trhxmd,06/034,Nonsmoker
ycw4trhxmd,15/038,Moved to Hofn 19 with
ycw4trhxmd,15/038,Wheat Farmer
ycw4trhxmd,15/038,Light smoker
ycw4trhxmd,24/038,No longer friends with
ycw4trhxmd,25/039,Friends with
ycw4trhxmd,02/040,Nonsmoker
ycw4trhxmd,08/042,Moved to Vardo 3 with
ycw4trhxmd,08/042,Mathematics Professor
ycw4trhxmd,13/042,Friends with
ycw4trhxmd,13/044,Unemployed
ycw4trhxmd,13/044,Postman
ycw4trhxmd,15/046,No longer friends with
ycw4trhxmd,19/046,No longer friends with
ycw4trhxmd,23/046,Friends with
ycw4trhxmd,24/046,Friends with
ycw4trhxmd,18/047,Unemployed
ycw4trhxmd,06/048,Butcher
ycw4trhxmd,22/053,No longer friends with
ycw4trhxmd,22/054,Friends with
ycw4trhxmd,07/055,Light smoker
ycw4trhxmd,04/059,Widowed
ycw4trhxmd,15/059,No longer friends with
ycw4trhxmd,18/059,No longer friends with
ycw4trhxmd,21/059,Nonsmoker
ycw4trhxmd,21/059,Friends with
ycw4trhxmd,05/060,No longer friends with
ycw4trhxmd,20/060,No longer friends with
ycw4trhxmd,22/060,Friends with
ycw4trhxmd,23/060,Friends with
ycw4trhxmd,09/061,No longer friends with
ycw4trhxmd,21/061,Friends with
ycw4trhxmd,18/062,No longer friends with
